ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
QIVIC9,Ford Ecosport,Mumbai,2013,38000,Petrol,Automatic,First,16.5 kmpl,1499 CC,110 bhp,Black/Silver,5,4,\N,6.25
CVNL37,Maruti Swift,Kolkata,2014,57000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,Black/Silver,5,4,\N,3.89
BIQJST,Chevrolet Beat,Jaipur,2010,26000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,Black/Silver,5,4,\N,1.5
AUB2H2,Toyota Etios,Delhi,2013,84000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,Black/Silver,5,4,7.83 Lakh,3.85
OXVZ9F,Maruti Ciaz,Coimbatore,2018,7784,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,White,5,4,\N,8.76
TC33T8,Skoda Superb,Kochi,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,Others,5,4,\N,6.89
AW5WAY,Hyundai Grand,Coimbatore,2017,60993,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,Others,5,4,\N,5.21
20I9MC,Mahindra XUV300,Chennai,2012,97000,Diesel,Manual,First,20.0 kmpl,1497 CC,115 bhp,Black/Silver,5,4,12.79 Lakh,7.25
ZSGLZQ,Hyundai i20,Delhi,2010,62489,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,Black/Silver,5,4,\N,2.6
4UFG5F,Audi Q5,Delhi,2014,44999,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,Others,5,4,\N,25.0
GIT6WN,Maruti Swift,Hyderabad,2016,69000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,Black/Silver,5,4,\N,4.79
SM0FWY,Maruti Wagon,Kolkata,2012,35503,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Others,5,4,\N,2.3
2OY1F8,Volkswagen Polo,Kolkata,2011,32000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,Others,5,4,\N,2.55
PFIO1X,Maruti Alto,Hyderabad,2007,52195,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,Others,5,4,\N,1.75
R5A7G8,Mahindra TUV,Hyderabad,2017,30000,Diesel,Automatic,First,18.49 kmpl,1493 CC,100 bhp,White,7,5,\N,8.2
IBWBBS,Maruti Ertiga,Hyderabad,2017,17400,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,White,7,5,\N,9.75
3VKBEJ,Renault Duster,Mumbai,2013,102486,Diesel,Manual,First,19.87 kmpl,\N,\N,\N,5,4,\N,4.25
HSCGDP,Maruti Alto,Hyderabad,2009,85000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,White,5,4,\N,1.8
11FTAW,Hyundai Xcent,Kolkata,2014,42000,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,White,5,4,\N,3.45
3J6KZ3,Maruti Baleno,Mumbai,2017,15544,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,Others,5,4,\N,5.65
NC5PD4,Maruti Wagon,Kolkata,2014,25000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,Others,5,4,\N,2.75
ZHUWN4,Mahindra TUV,Coimbatore,2017,49404,Diesel,Manual,First,18.49 kmpl,1493 CC,100 bhp,Others,7,5,\N,7.36
1YYL29,Maruti Alto,Jaipur,2013,86000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,Black/Silver,5,4,\N,2.41
BX1TTH,Hyundai Santro,Hyderabad,2011,17000,LPG,Manual,First,13.45 km/kg,1086 CC,62.1 bhp,Others,5,4,\N,3.1
59EJ9I,Maruti Swift,Chennai,2012,49000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,Black/Silver,5,4,\N,4.9
CUH0RR,Hyundai Grand,Kochi,2014,48031,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Others,5,4,\N,4.98
BV3V2U,Tata Zest,Mumbai,2014,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,White,5,4,8.56 Lakh,3.95
22N2D5,Hyundai Verna,Kolkata,2014,58000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,Others,5,4,\N,4.59
JEFP7W,Maruti Ciaz,Kochi,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,White,5,4,\N,7.47
MXMOMB,Hyundai Xcent,Mumbai,2016,170000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,Others,5,4,\N,4.0
S6IEP5,Honda City,Kolkata,2014,40000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,White,5,4,\N,6.49
AMQGY0,Hyundai Verna,Pune,2013,21107,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,Others,5,4,\N,5.25
VVPEU9,Hyundai Verna,Mumbai,2011,74000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.3 bhp,Black/Silver,5,4,\N,3.75
X0EW89,Hyundai EON,Kochi,2018,15334,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,Others,5,4,\N,3.69
WJ664M,Volkswagen Polo,Delhi,2012,52000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,Others,5,4,\N,3.1
8BP7P9,Audi A4,Bangalore,2012,88000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,White,5,4,\N,16.25
CAHBCT,Ford Fiesta,Hyderabad,2009,55000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,Black/Silver,5,4,\N,2.4
JRW0TA,Volkswagen Polo,Mumbai,2014,54230,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,White,5,4,\N,4.5
X15Z0J,Hyundai Verna,Jaipur,2012,72000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,Black/Silver,5,4,\N,5.8
17IP82,Hyundai Creta,Bangalore,2016,28000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,White,5,4,\N,13.75
9640GD,Jeep Compass,Jaipur,2018,29000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,Others,5,4,22.95 Lakh,19.0
9O68F9,Honda City,Mumbai,2016,42000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,White,5,4,\N,9.25
3LQRQ9,Honda City,Delhi,2012,65055,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,White,5,4,\N,4.25
77RY5I,Hyundai i10,Mumbai,2010,55000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,Black/Silver,5,4,\N,1.59
NH4FMZ,Hyundai Xcent,Kochi,2016,48163,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,Others,5,4,\N,4.85
QSK4ZI,Hyundai Grand,Jaipur,2017,14700,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,Others,5,4,\N,5.6
6YDCXI,Hyundai Grand,Kolkata,2017,31184,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,White,5,4,6.4 Lakh,5.0
TCA7AA,Honda Accord,Mumbai,2008,125000,Petrol,Automatic,Third,11.7 kmpl,2354 CC,177.6 bhp,Black/Silver,5,4,\N,2.6
VI1Z7G,Toyota Fortuner,Hyderabad,2014,107825,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,White,7,5,\N,20.5
FBW3SM,Maruti Wagon,Kolkata,2013,46000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5,4,\N,2.65
F2ZP1R,BMW 3,Pune,2016,70000,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,White,5,4,62.11 Lakh,27.0
ZSX0SX,Honda City,Mumbai,2015,10400,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,\N,6.51
X9GFNF,Tata Manza,Mumbai,2013,64000,Diesel,Manual,Second,21.02 kmpl,1248 CC,88.76 bhp,Others,5,4,\N,2.65
XTLHJ1,Mercedes-Benz GLC,Mumbai,2018,10003,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,White,5,4,59.77 Lakh,48.5
Q25MRS,Maruti Alto,Mumbai,2016,13198,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,White,5,4,4.82 Lakh,3.15
WLV56G,Honda Civic,Pune,2007,93000,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,Black/Silver,5,4,\N,2.6
8MBXPM,Maruti Baleno,Delhi,2015,54000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,Others,5,4,\N,5.95
6KWURI,Skoda Octavia,Mumbai,2015,23000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,Black/Silver,5,4,\N,15.75
JFLE2L,Toyota Innova,Hyderabad,2015,84415,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,White,8,5,\N,13.5
E7S2MZ,Hyundai i10,Chennai,2008,85445,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,Others,5,4,\N,2.0
RFM1WA,Volkswagen Jetta,Chennai,2009,60000,Diesel,Manual,First,15.0 kmpl,1896 CC,105 bhp,Black/Silver,5,4,\N,4.0
3PI016,Honda City,Mumbai,2016,28000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,\N,8.75
FUBDKO,Hyundai Verna,Mumbai,2017,16100,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,Black/Silver,5,4,\N,11.6
WJDNHX,Maruti Ertiga,Bangalore,2013,68000,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,Others,7,5,\N,6.25
N0XFPO,Hyundai Xcent,Pune,2018,40000,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,White,5,4,6.71 Lakh,5.0
ZHWJ27,Chevrolet Beat,Chennai,2011,109500,Diesel,Manual,Third,25.44 kmpl,936 CC,57.6 bhp,Others,5,4,\N,1.5
5GRW3N,Toyota Fortuner,Jaipur,2016,73053,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,White,7,5,\N,20.0
LR973Y,Hyundai Verna,Mumbai,2015,40600,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,Black/Silver,5,4,15.14 Lakh,7.2
5QPR44,Maruti Swift,Jaipur,2014,75074,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Others,5,4,\N,5.25
XRWLJQ,Honda City,Mumbai,2014,57004,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,\N,5.35
VX4NFU,BMW 7,Kochi,2015,29966,Diesel,Automatic,Second,16.77 kmpl,2993 CC,261.49 bhp,Others,5,4,1.4 Cr,43.6
BKCBFG,Datsun Redi,Bangalore,2017,12000,Petrol,Manual,First,22.7 kmpl,799 CC,53 bhp,White,5,4,\N,3.1
NLOUP2,Mercedes-Benz New,Coimbatore,2017,26493,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,Black/Silver,5,4,\N,33.64
FEYZBV,Volkswagen Vento,Kolkata,2012,34000,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,Others,5,4,11.16 Lakh,3.4
B71108,BMW 5,Bangalore,2013,58500,Diesel,Automatic,Second,17.09 kmpl,1995 CC,218 bhp,Others,5,4,\N,27.5
2NNXBB,Mahindra Scorpio,Ahmedabad,2011,70000,Diesel,Manual,Second,12.05 kmpl,2179 CC,120 bhp,White,8,5,\N,7.45
OS9DKK,Volkswagen Polo,Coimbatore,2015,29651,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,Black/Silver,5,4,\N,6.43
6DXTK9,Maruti Vitara,Kolkata,2018,2900,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,White,5,4,10.13 Lakh,8.75
TM8ZLU,Honda City,Pune,2014,48094,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5,4,\N,7.25
D2GBBD,Hyundai i20,Coimbatore,2018,15985,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,White,5,4,\N,7.77
ZTYGI8,Hyundai Grand,Delhi,2018,9434,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,White,5,4,6.71 Lakh,5.75
QTM0Z1,Volkswagen Vento,Hyderabad,2012,110000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,White,5,4,\N,3.65
TJPFJL,Ford Endeavour,Mumbai,2016,29000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,White,7,5,\N,29.8
EUYNS5,BMW 5,Delhi,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,Others,5,4,\N,13.9
80S1R3,Maruti Wagon,Jaipur,2017,39867,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,Others,5,4,5.44 Lakh,4.5
8O4IXB,Nissan Sunny,Mumbai,2013,47000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,White,5,4,\N,4.25
INSM37,Hyundai Creta,Bangalore,2016,51000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,\N,13.25
3UOZ5I,Mahindra XUV500,Mumbai,2016,33000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,Black/Silver,7,5,\N,9.65
FNQE88,Mercedes-Benz GLA,Kolkata,2015,35000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Black/Silver,5,4,\N,20.99
5NVOBJ,Chevrolet Optra,Jaipur,2007,118000,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,Others,5,4,\N,1.35
7567M8,Volkswagen Polo,Kolkata,2011,43000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,White,5,4,\N,2.1
EXIT7B,Honda Amaze,Delhi,2016,19000,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,Others,5,4,\N,6.25
NHWLLF,Mercedes-Benz New,Hyderabad,2011,57000,Diesel,Automatic,Second,14.94 kmpl,2143 CC,204 bhp,White,5,4,\N,17.25
1J5TAQ,Mahindra Scorpio,Hyderabad,2013,86000,Diesel,Automatic,First,11.79 kmpl,2179 CC,120 bhp,Black/Silver,8,5,\N,8.0
SYSU11,Hyundai i20,Coimbatore,2016,44487,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,White,5,4,\N,7.3
S7GHC5,Honda Accord,Pune,2009,79000,Petrol,Manual,Third,9.8 kmpl,2354 CC,180 bhp,White,5,4,\N,3.1
6QLTWL,Tata Zest,Kolkata,2017,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,Others,5,4,7.94 Lakh,3.75
GE7VFA,BMW X1,Pune,2011,62943,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,White,5,4,\N,10.95
DA688K,Hyundai i10,Mumbai,2012,51000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5,4,\N,2.85
K7JQ81,Hyundai Grand,Jaipur,2016,57824,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,White,5,4,\N,5.5
QT6H7Z,Honda City,Kolkata,2006,44000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,Others,5,4,\N,1.5
YNWW3G,Maruti Swift,Jaipur,2014,61000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,White,5,4,\N,5.35
783Z6Z,Maruti Ciaz,Chennai,2014,45000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,Others,5,4,\N,6.85
U7DUK0,Skoda Superb,Kochi,2011,73783,Petrol,Automatic,Second,13.7 kmpl,1798 CC,157.75 bhp,White,5,4,\N,5.23
UHEI5R,Skoda Fabia,Delhi,2009,65000,Petrol,Manual,Second,17.5 kmpl,1198 CC,70 bhp,Others,5,4,\N,1.4
VVITL4,Mahindra Scorpio,Delhi,2012,85000,Diesel,Automatic,First,11.79 kmpl,2179 CC,120 bhp,White,7,5,\N,6.25
BSD538,Tata Xenon,Pune,2014,85000,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,White,5,4,\N,3.5
SYLP6T,Honda Civic,Kolkata,2010,38000,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,Black/Silver,5,4,\N,2.0
DYW6QL,Maruti Swift,Chennai,2016,38000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,White,5,4,\N,5.95
BJ45FI,Maruti Omni,Kolkata,2015,23000,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,Others,5,4,\N,1.5
0HS5ZN,Hyundai i20,Bangalore,2010,61000,Petrol,Manual,Fourth & Above,17.0 kmpl,1197 CC,80 bhp,Black/Silver,5,4,\N,3.25
1LTZ51,Ford Ecosport,Kochi,2015,80064,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,White,5,4,\N,7.33
L2S743,Maruti A-Star,Kochi,2010,55324,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,White,5,4,\N,2.87
K8D580,Hyundai Elantra,Kolkata,2013,42000,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,Black/Silver,5,4,\N,5.85
R2CQGB,Maruti Wagon,Jaipur,2015,64876,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,Black/Silver,5,4,5.71 Lakh,3.5
RVNRB7,Audi A6,Mumbai,2012,50000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,Black/Silver,5,4,\N,17.5
ZF5VCN,Maruti Swift,Bangalore,2009,65000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,White,5,4,\N,3.1
F2E06H,Honda Amaze,Kolkata,2014,84677,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,Black/Silver,5,4,\N,3.0
5UB98J,Mercedes-Benz New,Delhi,2016,20000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,Others,5,4,\N,33.0
OV90Q4,Maruti S,Kolkata,2016,45194,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,White,5,4,\N,7.75
D9B760,Mahindra XUV500,Jaipur,2017,22000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,Others,7,5,\N,16.0
QW7B4B,Skoda Laura,Hyderabad,2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,White,5,4,\N,4.5
575X9Y,Hyundai Creta,Jaipur,2015,78046,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,White,5,4,\N,10.9
3XEIYF,Toyota Innova,Mumbai,2014,118000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Others,7,4,\N,10.75
ZDREKA,Volkswagen Polo,Delhi,2016,27000,Petrol,Manual,First,18.78 kmpl,999 CC,74 bhp,Black/Silver,5,4,\N,4.5
CT6UC4,Land Rover Range,Coimbatore,2013,75995,Diesel,Automatic,Second,11.49 kmpl,4367 CC,335.3 bhp,White,5,4,\N,65.81
0PXQC9,Renault Duster,Kochi,2015,65178,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,Others,5,4,\N,6.79
38W5PI,Maruti Wagon,Kochi,2013,36716,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,Others,5,4,\N,3.02
FLHMYM,Audi A4,Hyderabad,2015,60000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,White,5,4,\N,25.0
RE6MD4,Hyundai Verna,Mumbai,2018,8000,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,Others,5,4,15.14 Lakh,12.85
C4XV9M,Maruti SX4,Coimbatore,2016,63316,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,Others,5,4,\N,9.58
Z5HYY0,Maruti Swift,Jaipur,2015,68310,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Others,5,4,\N,5.95
1RY5GD,BMW 5,Ahmedabad,2016,44001,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,Black/Silver,5,4,\N,34.51
2NH772,Honda City,Hyderabad,2011,71556,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Others,5,4,\N,5.5
86CYZW,Honda City,Bangalore,2009,71400,Petrol,Manual,Third,17.0 kmpl,1497 CC,118 bhp,White,5,4,\N,3.8
9M2G11,Hyundai Verna,Jaipur,2012,65900,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,Black/Silver,5,4,\N,5.75
RYO8KN,Maruti Alto,Bangalore,2011,11000,Petrol,Manual,Third,18.9 kmpl,796 CC,47 bhp,Black/Silver,5,4,\N,2.9
HCT2RS,Toyota Etios,Pune,2012,111000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.1 bhp,White,5,4,\N,4.75
V55GSO,Maruti Ertiga,Mumbai,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,White,7,5,12.74 Lakh,8.5
BPZ9RW,Audi A4,Bangalore,2014,24000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,Others,5,4,\N,25.0
TV5IOA,Hyundai i10,Mumbai,2011,35000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5,4,\N,2.75
N2YRWZ,Maruti Swift,Kochi,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,White,5,4,\N,6.37
ON90KI,Jeep Compass,Kolkata,2017,27000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,White,5,4,18.45 Lakh,15.0
TCYAK9,Toyota Corolla,Pune,2009,70000,Petrol,Manual,Third,14.53 kmpl,1798 CC,138.1 bhp,Black/Silver,5,4,\N,3.0
D3UPDV,Maruti 800,Jaipur,2002,53500,Petrol,Manual,Second,16.1 kmpl,796 CC,37 bhp,Black/Silver,4,4,\N,0.63
G0R1YD,Tata Nano,Bangalore,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,White,4,4,\N,2.15
YAW0T3,Ford EcoSport,Delhi,2015,57000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,Others,5,4,\N,6.35
2D0R3S,Tata Manza,Jaipur,2011,86500,Diesel,Manual,Second,21.12 kmpl,1248 CC,88.8 bhp,White,5,4,\N,1.8
JF56BU,Mini Cooper,Coimbatore,2014,45535,Diesel,Automatic,First,23.8 kmpl,1998 CC,112 bhp,Others,5,4,\N,19.41
9OSNNV,Mahindra Scorpio,Kolkata,2011,51387,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,Others,7,5,\N,5.5
Z4D4RV,Maruti Eeco,Chennai,2016,55000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,Others,7,5,4.87 Lakh,3.75
7ZPTI0,Mahindra Logan,Chennai,2011,128000,Diesel,Manual,Third,19.2 kmpl,1461 CC,65 bhp,White,5,4,\N,2.0
RMMAXS,Maruti Baleno,Delhi,2016,50003,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,Others,5,4,\N,5.45
DFUYU1,Honda Civic,Hyderabad,2007,77000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,White,5,4,\N,2.5
1CKTNA,Ford Ecosport,Mumbai,2017,30000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,Black/Silver,5,4,\N,8.75
HVPHVG,Hyundai i20,Chennai,2012,107000,Diesel,Manual,Second,21.27 kmpl,1396 CC,88.76 bhp,Others,5,4,\N,4.5
KYTHVM,Hyundai Elantra,Mumbai,2013,51000,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,Others,5,4,\N,8.75
L8XX75,Honda City,Kochi,2016,36367,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,White,5,4,\N,7.73
IH9DMF,Volkswagen Jetta,Pune,2014,64889,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,Others,5,4,\N,11.5
NHQDKQ,Audi A4,Bangalore,2015,58970,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,Black/Silver,5,4,\N,23.75
G08MIB,Hyundai i10,Pune,2013,54500,Petrol,Manual,Third,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5,4,\N,2.95
WV8I7T,Maruti Ertiga,Kolkata,2014,47052,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,White,7,5,\N,5.99
VFOAQ5,Skoda Superb,Pune,2010,35102,Petrol,Automatic,First,12.6 kmpl,1798 CC,161.6 bhp,Black/Silver,5,4,\N,5.5
A8BRB4,Volkswagen Vento,Pune,2012,115000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,Others,5,4,\N,4.33
LO0EGH,Audi A6,Coimbatore,2017,36824,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,Others,5,4,69.37 Lakh,39.84
4MQWDT,Renault Duster,Hyderabad,2012,82749,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,White,5,4,\N,5.99
95WR6I,Jeep Compass,Coimbatore,2018,33218,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,Others,5,4,22.46 Lakh,19.05
4DHWKM,Chevrolet Aveo,Hyderabad,2007,33000,Petrol,Manual,First,15.26 kmpl,1150 CC,74.9 bhp,Black/Silver,5,4,\N,1.75
77Q5BF,Nissan Sunny,Delhi,2012,70000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,White,5,4,\N,2.59
S1ADVE,Maruti Swift,Kolkata,2013,40000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,Black/Silver,5,4,\N,3.55
CQH494,Maruti SX4,Kochi,2010,69918,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,White,5,4,\N,2.83
TZ6J3X,Hyundai Grand,Kochi,2015,66337,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,Others,5,4,\N,4.96
ROA6B7,Maruti Ertiga,Chennai,2012,40000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,Others,7,5,\N,7.0
LIFW21,Ford Figo,Jaipur,2014,59327,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,White,5,4,\N,3.25
NWNNYL,Hyundai i20,Coimbatore,2014,45051,Petrol,Automatic,First,15.0 kmpl,1396 CC,98.6 bhp,White,5,4,\N,5.96
TD2XWK,Maruti Alto,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,White,5,4,4.53 Lakh,2.6
GIF578,Maruti Swift,Delhi,2014,56000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,Black/Silver,5,4,\N,4.25
YGW5ZX,Maruti Celerio,Pune,2016,64000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,Black/Silver,5,4,\N,4.2
QEKBV2,Ford Fiesta,Chennai,2007,75000,Petrol,Manual,Second,16.6 kmpl,1388 CC,68 bhp,Black/Silver,5,4,\N,2.0
P6VZAB,Hyundai i10,Bangalore,2009,60510,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,Others,5,4,\N,3.1
3V6LN1,Mercedes-Benz S,Kolkata,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,White,5,4,\N,30.0
TU9OZI,Jeep Compass,Coimbatore,2018,48188,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,White,5,4,26.95 Lakh,21.69
